rid,title,meaning,likes,views,createdAt,updatedAt
50,donge nono,pesa nyingi,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
51,damu ya kunguni,bahati mbaya,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
52,bei rafi,bei isiyopunguzwa,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
53,dumu daima,dumu milele,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
54,bei tahafifu,bei nafuu,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
55,duru za kisiasa,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
56,fanyia stihizai,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
57,chukua dhamana,dhamini,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
58,chungulia kaburi,karibia kufa,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
59,dunia mwendo wa ngisi.,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
60,damu ya mzee rangi,nyekundu iliyokoza,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
61,chururu si ndondondo.,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
62,feli mbaya,mkosi,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
63,elimu ni bahari.,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
64,fumua ngumi,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
65,futa usemi,badilisha kauli uliyosema,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
66,gongo la mwitu,mwitu mnene,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
67,gongo la mlima,mlima mpana,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
68,haramu mutlaki,haramu isiyokuwa na shaka yoyote,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
69,fumua mtu,piga mtu vibaya,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
70,inshaallah taala,Mwenyezi Mungu aliyetukuka.,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
71,dira ya binadamu ni kichwa.,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
72,harusi imejibu,kutambulika kwamba mwanamke aliyeolewa ni bikira,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
73,hasira hasara.,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
74,ghairi ya,bila ya kujali,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
75,jitoa kimasomaso,jidehihirisha bila kuogopa hususan kupatwa na fedheha,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
76,hanihusu ndewe wala sikio.,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
77,gwaridee la utambulisho,msururu wa watuhumiwa wa uhalifu waliopangwa ili kutambuliwa,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
78,fedha fedheha.,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
79,hali ya kumpiga mtu chenga,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
80,kazi bure,jambo lisilokuwa na manufaa,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
81,kazi za mitulinga,kazi za kutumia nguvu k.m. kazi ya kubeba mizigo,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
82,kereza mkwamba kereza na mti mkuu tule nyama,fanya jambo kwa hima na hatimaye utafaulu,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
83,kichango ni kuchangizana.,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
84,kideole cha shahada,kideole cha kwanza baada ya kideole gumba,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
85,hana mbele wala nyuma,yeye ni maskini,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
86,kisebusebu na kiroho papo,kutaka kitu na kujifanya hukitaki,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
87,kinga ni bora kuliko tiba,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
88,hata chembe hata kideogo,Hana akili hata chembe.,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
89,kitata cha asali,"zana la nyuki, sega la nyuki",0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
90,kazi isiyo kipimo mwishowe watu huteta,watu wakifanyishwa kazi sana hatimaye hulalamika,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
91,kitu kilivunja nguu na milima ikalala,ushindi ulipatikana,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
92,kipendacho roho ni dawa,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
93,kifupi nyundo,mtu mfupi,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
94,kucha kuchele,kumekucha kabisa,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
95,kisebusebu na kiroho papo.,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
96,karafuu maiti,kafuri,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
97,kufumba na kufumbua,mara moja,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
98,"kua kama mgomba, mnazi unakawia",,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
99,kiuno cha nyigu,kiuno chembamba,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
100,"kila leo huwa jana, juzi ikawa zamani.",,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
101,kikoi cha jabiri,kikoi cha kufumwa,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
102,kufumba na kufumbua,mara moja,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
103,kumanyoko,"(tusi) tupu ya mbele ya mama, nina",0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
104,kuro haisemi uwongo,ngoma haipigwi bila ya sababu fulani,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
105,kuwa na mkono mrefu,kuwa mwizi,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
106,kuwa na mkono mzito,kufanya kazi polepole sana,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
107,kuwa na mkono mbaya,kufanya kazi ikaharibika,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
108,kuwa na mkono mwepesi,kufanya kazi chapuchapu,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
109,kuwa na mkono mzuri,kuwa na ustadi wa kufanya kazi ikafanikiwa,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
110,kuwa na mwili,kuwa mnene,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
111,kutoa ni moyo usambe ni utajiri,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
112,"kwa kukutana pamoja, kwa kuonana uso kwa uso",,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
113,kuwa na bahati kama mtende,kufanikiwa katika mazingira magumu,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
114,kuwa na mkono mrefu,kuwa mwizi,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
115,kuwa na roho mkononi,kuwa na wasiwasi mwingi,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
116,kwa mgumba hakuna kilio,"kifo cha mtu asiye na mtoto, hakina wa kumlilia, hakumbukwi tena",0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
117,kwa mtutu wa bunduki,kwa kutumia nguvu au mabavu,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
118,laili wa nahari,usiku na mchana,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
119,lala kama gogo,lala fofofo,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
120,lewa chakari,kuwa katika athari ya pombe mpaka kukosa kujitambua,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
121,lala usingizi wa pono,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
122,limbukeni hana siri.,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
123,maana batini,"maana ya ndani, maana iliyojificha",0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
124,lingwa na nyasi,tatanishwa,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
125,maji ya mbande,"maji yenye kina kifupi, maji mafu",0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
126,mali yalivunda nguu na milima ikalala.,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
127,malipo leo kesho hesabu,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
128,mahaba yamemvama.,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
129,malipo ni duniani ahera kunakwenda hesabu.,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
130,lowa maji chepechepe,ingiwa maji mengi mwilini au katika nguo,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
131,maji ya nazi yatafuta mvugulio.,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
132,maji fuma,maji kupwa,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
133,mambo yanakwenda shoro,mambo hayaendi vyema,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
134,maji ya shahada,(a) maji anayopewa au atiliwayo mgonjwa aliye mahututi na anayekaribia kukata roho (b) maji ya kuoshea maiti,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
135,makiwa hujibiwa yamepita.,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
136,mara kwa mara kila wakati,Yeye huja hapa mara kwa mara.,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
137,"mavi , choo kideogo",mkojo,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
138,mavi matupu,maneno yasiyo na maana,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
139,mcha mungu si mtovu.,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
140,mchawi akifichua mirimo ya wachawi huuawa,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
141,mdharau mwiba guu huota tende.,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
142,mdomo kama kasiba.,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
143,mgema tahadhari mnazi wayumbayumba.,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
144,mgeni siku ya kwanza mpe mchele na panza.,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
145,mgongano wa mawazo,fikira tofauti juu ya jambo moja,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
146,"miundini mna mbingo, kama hujui itika.",,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
147,mke,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
148,"mke ni mgomba, sharti upaliliwe.",,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
149,mja hana hiari.,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
150,mkubwa jaa,kiongozi husifiwa au hulaumiwa kwa lolote linalotokea mahali pa kazi,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
151,mkwara hauhitaji mafuta,mtu mzuri hahitaji kujipamba,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
152,moja kwa moja,bila kusimama au kupitia mahali,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
153,moyo mgumu,tabia ya uvumilivu.,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
154,moyo wa bua,"tabia ya woga, utovu wa ujasiri",0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
155,mpende akupendaye.,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
156,mrefu kama twiga.,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
157,mrefu kama unju,mrefu sana,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
158,"mshika mawili, moja humponyoka",usifanye mambo mawili kwa wakati mmoja,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
159,msi kwao,mtu asiye na makazi,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
160,msitu na nyika,"masafa marefu,mbali",0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
161,mtazamo hasi,kuwa na mwelekeo pinzani,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
162,mtoto wa kufikia,mtoto aliyekuja na mama yake,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
163,"mtu aso nadhari, ng’ombe.",,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
164,mtu baki,mtu asiyehusika katika ukoo,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
165,mtu chege,mtu dhaifu,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
166,mtu hariri,mtu mpole,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
167,mtu mbuge hawezi nyumba,mtu mwenye tabia ya kula akijificha hawezi kuitunza familia yake,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
168,"mtu mwembamba sana, mtu aliyekonda",,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
169,muda si muda,baada ya muda mfupi,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
170,mume si babe kwa mkewe.,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
171,mungu ndiye mpaji.,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
172,mwanagozi,mchezaji wa soka,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
173,mwana harashi,mtu asiyekuwa na adabu,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
174,mvua ilinyesha ghafla bin vuu!,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
175,mwanamke aliyeolewa,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
176,"mwanguo ndio mliowe, msimwogole.",,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
177,mwanzo wa ngoma ni lele,kila jambo lina mwanzo wake,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
178,mwendo wa arubii,mwendo wa kasi,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
179,mzima kama ngarange za mvule.,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
180,mwezi karibu unaandama.,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
181,mzoea punda hapandi farasi,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
182,ni mimi pweza mwenye mikia minane,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
183,nia safi.,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
184,nimechacha kabisakabisa,nimeishiwa na pesa kabisa,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
185,waza na kuwazua,fikiri sana,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
186,"nimejia kadha, sikujia kadha wa kadha",nimefika kwa ajili ya masuala fulani mahususi wala si kwa shughuli nyingine,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
187,niwie radhi,nisamehe,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
188,njia ya mkingamo,njia inayokutana na nyingine na kuipita,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
189,nuksi,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
190,nyama ya ulimi,maneno matamu aambiwayo mtu,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
191,nyoko nyoko ni shibe ya kuonana.,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
192,nyuki hana urafiki,urafiki wake uchungu,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
193,nyota ya jaha,bahati nzuri,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
194,nyege ni kunyegezana,wema ni kutendeana,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
195,nyumba ya mnandi haijui mtu ila mnandi mwenyewe,matatizo ya mtu anayajua mtu mwenyewe,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
196,paka mtu matope,haribia mtu heshima yake,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
197,paka mtu mafuta kwa mgongo wa chupa,danganya mtu,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
198,pata raghba,kuwa na hamu ya kitu,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
199,pemba peremba ukija na winda utarudi na kilemba,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
200,pewa shufaa,samehewa,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
201,piga chuku,tia chumvi,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
202,piga fatiha,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
203,piga jeki,saidia mtu kufanya jambo,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
204,pigia mbuzi gitaa,"ambia mtu kitu ambacho hawezi kuelewa, kazi bure",0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
205,potelea mbali,haidehuru kitu,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
206,piga kideoko,shangaa au ita binadamu au mnyama,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
207,pua ya upanga,pua iliyonyoka,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
208,punje moja ya mtama ni bora kuliko almasi.,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
209,rabbi alamina,Bwana wa viumbe,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
210,rudi jina,kwenda mahali na badala ya kurudi hai ukafa,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
211,ruka mpaka,zidi au pita kiwango,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
212,ruka mtu,kana mtu,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
213,sakama mtu kama kibanzi cha ukuni,"andama mtu bila kumwachia, shikilia mtu",0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
214,saba mbili,siku 14,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
215,ruka kesi,epuka kesi kwa ujanja,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
216,pwagu amepata pwaguzi.,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
217,punda haendi ila kwa mikwaju.,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
218,rudi muflisi,rudi bila chochote,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
219,salama salimini.,,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
220,salimu amri,kubali kushindwa,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
221,shidea haina hodi,dhiki haitangazi inapomjia mtu,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
222,rusha mtu akili,fanya mtu awe na hofu au woga,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
223,sako kwa bako,keti karibu sana na mtu mwingine,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
224,shilingi kwa ya pili,fanana,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
225,shingo upande,bila kupenda,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
226,shinikizo la damu,nguvu inayosukuma damu ndani ya mishipa na iletayo madhara inapokuwa kubwa sana au ndogo sana,0,0,2023-02-19 13:45:03.569+00,2023-02-19 13:45:03.569+00
