rid,title,english,synonyms,meaning,conjugation,likes,views,createdAt,updatedAt
12,-ekundu,red,,-enye rangi ya damu,,0,0,2023-02-19 13:59:53.312+00,2023-02-19 13:59:53.312+00
13,-ema,good,,-enye kufaa| -enye ukarimu au huruma,,0,0,2023-02-19 13:59:53.312+00,2023-02-19 13:59:53.312+00
14,-embamba,narrow,,-siokuwa na umbo pana au nene,,0,0,2023-02-19 13:59:53.312+00,2023-02-19 13:59:53.312+00
15,-enu,your (plural),,-enye kumilikiwa na ninyi (nafsi ya pili wingi): Kazi yenu ni nzuri.,,0,0,2023-02-19 13:59:53.312+00,2023-02-19 13:59:53.312+00
16,-enye,having,,-liokuwa na (kitu): Watu wenye ujuzi wataajiriwa.,,0,0,2023-02-19 13:59:53.312+00,2023-02-19 13:59:53.312+00
17,-enyewe,self,,pasipo msaada: Nitakuja mwenyewe.,,0,0,2023-02-19 13:59:53.312+00,2023-02-19 13:59:53.312+00
18,-epesi,light/easy,,-siokuwa nzito: Mzigo wako ni mwepesi| -siokuwa ngumu: Kazi hii ni nyepesi.,,0,0,2023-02-19 13:59:53.312+00,2023-02-19 13:59:53.312+00
19,-erevu,clever,,"-enye ufahamu mkubwa, -enye akili nyingi sana| -liokuwa na hila au mpango mbaya",,0,0,2023-02-19 13:59:53.312+00,2023-02-19 13:59:53.312+00
20,-etu,our,,-enye kumilikiwa na sisi (nafsi ya kwanza wingi) kwa mfano nyumba zetu,,0,0,2023-02-19 13:59:53.312+00,2023-02-19 13:59:53.312+00
21,-eupe,white,,"-enye rangi ya chokaa: Nyumba itapakwa rangi nyeupe.| -lio na mwangaza, -siokuwa na giza: Taa ilipowashwa chumba kilikuwa cheupe.| -liokuwa bayana| -siokuwa na kitu: Wezi waliiacha nyumba nyeupe!",,0,0,2023-02-19 13:59:53.312+00,2023-02-19 13:59:53.312+00
22,-eusi,black,,-enye rangi ya makaa| -siokuwa na moyo safi: Ana roho nyeusi.,,0,0,2023-02-19 13:59:53.312+00,2023-02-19 13:59:53.312+00
23,-geni,foreign,,"-siokuwa ya kienyeji, -siokuwa ya asili ya mahali fulani: Kwetu sisi Kiingereza ni lugha ya kigeni.| -siokuwa ya kawaida, -siojulikana: Nguo fupi kwa wanawake wa Kiswahili ni mtindo wa mavazi ya kigeni.",,0,0,2023-02-19 13:59:53.313+00,2023-02-19 13:59:53.313+00
24,-gumba,sterile (male),,-siokuwa na uwezo wa kupata mtoto hasa kwa mwanamume,,0,0,2023-02-19 13:59:53.313+00,2023-02-19 13:59:53.313+00
25,-gumu,hard/difficult,,"-sio laini, -siyoweza kuvunjika au kukatika kwa urahisi, -lio madhubuti: Mpingo ni mti mgumu.| -sio epesi kueleweka: Swali hili ni gumu; Maelezo yaliyotolewa ni magumu.| -siokuwa na woga: Kama huna roho ngumu huwezi kwenda vitani.| -siokuwa na huruma: ",,0,0,2023-02-19 13:59:53.313+00,2023-02-19 13:59:53.313+00
26,-ingi,many,,iliyo na kiasi kikubwa; kiasi kikubwa,,0,0,2023-02-19 13:59:53.313+00,2023-02-19 13:59:53.313+00
27,-ingine,other,,ilivyo tofauti na ilivyotolewa kwanza : Mtu mwingine aingie.| nyongeza ya ile iliyotolewa au kujulikana kwanza: Kuna watu wengine?,,0,0,2023-02-19 13:59:53.313+00,2023-02-19 13:59:53.313+00
28,-kiwa,single (person),,-enye kuishi peke: Amekuwa mkiwa baada ya kuachana na mumewe.,,0,0,2023-02-19 13:59:53.313+00,2023-02-19 13:59:53.313+00
29,-pya,new,,"-a siku hizi, -a hivi karibuni| -siotumika bado",,0,0,2023-02-19 13:59:53.313+00,2023-02-19 13:59:53.313+00
30,-rembo,beautiful,,"-enye kuvutia, -lio pambwa",,0,0,2023-02-19 13:59:53.313+00,2023-02-19 13:59:53.313+00
31,-sikivu,obedient,,-tiifu,,0,0,2023-02-19 13:59:53.313+00,2023-02-19 13:59:53.313+00
32,-wa,become,,fanyika : Amekuwa mkubwa.| baki katika hali au mahali fulani: Amekuwa chumbani tangu asubuhi.,,0,0,2023-02-19 13:59:53.313+00,2023-02-19 13:59:53.313+00
33,-wi,bad,,baya,,0,0,2023-02-19 13:59:53.313+00,2023-02-19 13:59:53.313+00
34,-zee,old,,-loishi miaka mingi: Babu ni mzee sana.| -loishiwa nguvu sababu ya umri mkubwa,,0,0,2023-02-19 13:59:53.313+00,2023-02-19 13:59:53.313+00
35,-zembe,lazy,,"-legevu, -vivu katika kutekeleza shughuli: Alifanya kazi kizembe kwa hivyo hakuimaliza.",,0,0,2023-02-19 13:59:53.313+00,2023-02-19 13:59:53.313+00
36,-zima,complete/healthy,,"kamili: Familia nzima inaugua mafua.| - sio na udhaifu, uchache au kasoro: Gari lake la miaka arubaini bado ni zima na lina nguvu barabarani.| mwenye umri wa kupita miaka arubaini: Watoto wake siku hizi wamekuwa watu wazima.| bila ya kuwa na ugonjwa: N",,0,0,2023-02-19 13:59:53.313+00,2023-02-19 13:59:53.313+00
37,a!,oh!,,sauti anayoitoa mtu anaposhangaa| sauti anayotoa mtu kuonyesha dharau,,0,0,2023-02-19 13:59:38.9+00,2023-02-19 13:59:38.9+00
38,aa!,ah!,,"ni neno la kuonyesha mshangao,furaha au kukubali:ahaa!| neno la kuonyesha uchungu: aa!| neno la kuonyesha kukataa",,0,0,2023-02-19 13:59:38.9+00,2023-02-19 13:59:38.9+00
39,aa!,ugh!,,neno linalotumika kuonyesha kutoridhika| tazama ahaa!,,0,0,2023-02-19 13:59:38.9+00,2023-02-19 13:59:38.9+00
40,aalam,Omniscient (God),,(Mungu) mwenye kujua zaidi: Allahu ya aalam,,0,0,2023-02-19 13:59:38.9+00,2023-02-19 13:59:38.9+00
41,aali,supreme,"aula, bora, adhimu",hali ya juu : Almasi ni madini aali.,,0,0,2023-02-19 13:59:38.9+00,2023-02-19 13:59:38.9+00
42,aalimu,Islamic scholar,,mwenye elimu kubwa ya dini ya Kiislamu,,0,0,2023-02-19 13:59:38.9+00,2023-02-19 13:59:38.9+00
43,aalimu,Islamic scholar,"mtaalamu, mufti",mtu aliyebobea katika elimu ya dini ya Kiislamu,,0,0,2023-02-19 13:59:38.9+00,2023-02-19 13:59:38.9+00
44,aathari,archaeological remains,,"mabaki (yatokanayo) na vitu vya zamani vinavyohusiana na mila, utamaduni na desturi za watu wa jamii fulani kwa mfano: makaburi ya wafalme, nyumba, mahekalu, vigae vya vitu vya ufinyanzi na kadhalika",,0,0,2023-02-19 13:59:38.9+00,2023-02-19 13:59:38.9+00
45,aazi,valuable,bora,-enye thamani : Fursa niliyopewa ni kitu aazi kwangu.,,0,0,2023-02-19 13:59:38.9+00,2023-02-19 13:59:38.9+00
46,aazi,valuable person,"mwandani, muhibu",mtu wa thamani,,0,0,2023-02-19 13:59:38.9+00,2023-02-19 13:59:38.9+00
47,abaa!,hey! (to get attention),"aisee, halo, oha",neno linalojenga usikivu wa yule unayemwita,,0,0,2023-02-19 13:59:38.9+00,2023-02-19 13:59:38.9+00
48,abadani,never,"hata kidogo, katakata, kamwe, asilani, katu",neno la kusisitiza jambo lililotajwa ambalo limekanushwa : Sitakuja kwako abadani.,,0,0,2023-02-19 13:59:38.9+00,2023-02-19 13:59:38.9+00
49,abadi,forever,"daima, milele",neno linaloonyesha kutokoma kwa muda : Anaishi hapa abadi.,,0,0,2023-02-19 13:59:38.9+00,2023-02-19 13:59:38.9+00
50,abakusi,abacus,,kifaa chenye shanga au vihesabio vilivyotungwa kwenye nyuzi au nyaya kwa ajili ya kuhesabia,,0,0,2023-02-19 13:59:38.9+00,2023-02-19 13:59:38.9+00
51,abdi,servant of God,abidi,"mlimwengu, mja wa Mwenyezi Mungu",,0,0,2023-02-19 13:59:38.9+00,2023-02-19 13:59:38.9+00
52,abedari,ship's winch,kapi,roda inayotumiwa kuvutia vitu kwenye jahazi,,0,0,2023-02-19 13:59:38.9+00,2023-02-19 13:59:38.9+00
53,abedari,warning,"simile!, kaa chonjo!",neno linalotumika kumtahadharisha mtu,,0,0,2023-02-19 13:59:38.901+00,2023-02-19 13:59:38.901+00
54,abee!,yes? (response for women),"bee!, beka!",neno la kuitikia wito litumiwalo na wanawake wanapoitwa,,0,0,2023-02-19 13:59:38.9+00,2023-02-19 13:59:38.9+00
55,abiri,cross/board,vuka,"safiri kwa chombo cha majini kutoka upande mmoja wa mto, ziwa au bahari hadi upande mwingine : Tuliabiri bahari kwa meli.| ingia chombo cha kusafiri kwa mfano basi, meli, mashua na kadhalika","abiria, abirika, abirisha",0,0,2023-02-19 13:59:38.9+00,2023-02-19 13:59:38.9+00
56,abiri,explain/predict,"tabiri, bashiri",toa maelezo ya kitu kwa usahihi na kwa kueleweka vyema| eleza jambo litakalotokea kabla ya kutokea kwake,"abiria, abirika, abirisha, abiriwa",0,0,2023-02-19 13:59:38.901+00,2023-02-19 13:59:38.901+00
57,abiri,learn a lesson,"makinika, tahadhari",pata fundisho kutokana na jambo fulani,"abiria, abiriana, abirisha",0,0,2023-02-19 13:59:38.901+00,2023-02-19 13:59:38.901+00
58,abiria,passenger,,"mtu anayetoka mahali fulani na kwenda pengine kwa kutumia chombo kwa mfano basi, treni na kadhalika na ambaye si mfanyakazi wa chombo hicho",,0,0,2023-02-19 13:59:38.9+00,2023-02-19 13:59:38.9+00
59,abjadi,alphabet,"alfabeti, abtathi",orodha ya herufi za lugha fulani : Abjadi za Kiswahili,,0,0,2023-02-19 13:59:38.901+00,2023-02-19 13:59:38.901+00
60,abra,opportunity,"nafasi, muda",fursa ya kufanya jambo,,0,0,2023-02-19 13:59:38.9+00,2023-02-19 13:59:38.9+00
61,abtadi,begin/invoke,,alika kitu au shughuli : Ninaabtadi safari yangu kwa kumwomba Mola; Bismillahi n''abtadi -> ninaanza kwa jina la Mwenyezi Mungu,,0,0,2023-02-19 13:59:38.901+00,2023-02-19 13:59:38.901+00
62,abtali,fighters,"mashujaa wa vitani, nguli",wapiganaji,,0,0,2023-02-19 13:59:38.901+00,2023-02-19 13:59:38.901+00
63,abtathi,alphabet,,alfabeti,,0,0,2023-02-19 13:59:38.9+00,2023-02-19 13:59:38.9+00
64,abu,father,baba,mzazi wa kiume,,0,0,2023-02-19 13:59:38.901+00,2023-02-19 13:59:38.901+00
65,abudu,love intensely,husudu,penda kitu au mtu sana,"abudia, abudiana, abudisha, abudiwa",0,0,2023-02-19 13:59:38.901+00,2023-02-19 13:59:38.901+00
66,abudu,doll,mwanasesere,mtoto wa bandia,,0,0,2023-02-19 13:59:38.901+00,2023-02-19 13:59:38.901+00
67,abudu,worship,,omba Mungu kufuatana na imani fulani,"abudia, abudisha, abudiwa",0,0,2023-02-19 13:59:38.901+00,2023-02-19 13:59:38.901+00
68,abunusi,ebony tree,mpingo,mti ulio na kiini cheusi kikubwa na kigumu kinachotumika kuchongea vinyago au kutengeneza samani,,0,0,2023-02-19 13:59:38.901+00,2023-02-19 13:59:38.901+00
69,abunuwasi,trickster character,,"mhusika mkuu ambaye ni mjanja sana katika hekaya za kale kwa mfano katika ""Hekaya za Abunuwasi'",,0,0,2023-02-19 13:59:38.901+00,2023-02-19 13:59:38.901+00
70,aburani,promise,,ahadi,,0,0,2023-02-19 13:59:38.901+00,2023-02-19 13:59:38.901+00
71,abuwabu,French doors,milango,fremu zenye mifuriko zilizopachikwa kwenye sehemu wazi katika jengo na zilizotengwa kwa ajili ya kuingilia au kutokea,,0,0,2023-02-19 13:59:38.901+00,2023-02-19 13:59:38.901+00
72,abwe!,expression of contempt,ebo!,tamko la kushangaa kwa namna ya kudharau,,0,0,2023-02-19 13:59:38.901+00,2023-02-19 13:59:38.901+00
73,abyadhi,white,-eupe,enye rangi nyeupe,,0,0,2023-02-19 13:59:38.901+00,2023-02-19 13:59:38.901+00
74,abyadhi,blank card,,karata isiyokuwa na alama yoyote inayotumika katika mchezo wa dhumna,,0,0,2023-02-19 13:59:38.901+00,2023-02-19 13:59:38.901+00
75,acha,stop/leave/abandon,"saza, taliki, koma",sita kufanya jambo: Juma ameacha shule.| telekeza: aliwaacha watoto wake nyumbani bila ya chakula.| toa maelekezo kuhusu jambo la kufanywa na mtu mwingine wakati unapoondoka mahali: Nilipokwenda kwake sikumkuta lakini niliacha ujumbe.| bakiza kitu : Mg,"achana, achika, achisha, achwa",0,0,2023-02-19 13:59:38.901+00,2023-02-19 13:59:38.901+00
76,acha!,really? (surprise),,neno linalotumiwa kuonyesha mshangao : Acha wee! Ni kweli usemayo?,,0,0,2023-02-19 13:59:38.901+00,2023-02-19 13:59:38.901+00
77,achama,gape,,weka kinywa wazi mithili ya mtu apigaye miayo,"achamia, achamisha",0,0,2023-02-19 13:59:38.901+00,2023-02-19 13:59:38.901+00
78,achana,separate/divorce,,tengana na mtu aghalabu mke na mume: Maganga na mkewe wameachana.| kuwa mbalimbali kwa vitu vilivyokuwa vimeshikana,"achania, achanisha",0,0,2023-02-19 13:59:38.901+00,2023-02-19 13:59:38.901+00
79,achari,pickle,,mchanganyiko wa matunda pamoja na chumvi na pilipili ambao hutumiwa kukipa chakula ladha,,0,0,2023-02-19 13:59:38.901+00,2023-02-19 13:59:38.901+00
80,ache!,cheers! (celebration),,neno la kumtakia mtu heri wakati wa sherehe : Ache wana!,,0,0,2023-02-19 13:59:38.901+00,2023-02-19 13:59:38.901+00
81,achia,forgive/acquit,,"samehe deni au haki yako, toa hatiani: Mahakama imewaachia huru wafanyabiashara.","achiana, achilia, achiwa",0,0,2023-02-19 13:59:38.901+00,2023-02-19 13:59:38.901+00
82,achika,be divorced,,"pewa talaka, talikiwa : Baluli ameachika baada ya kugombana na mumewe kwa sababu ya ulevi.",,0,0,2023-02-19 13:59:38.901+00,2023-02-19 13:59:38.901+00
83,achisha,stop/dismiss,,simamisha shughuli au tendo fulani lisiendelee: Mkurugenzi amemwachisha kazi karani mkuu.,,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
84,ada,fee/custom/habit,,"gharama au karo anayolipa mtu ili apatiwe huduma fulani kwa mfano katika elimu, burudani au kupata uanachama katika chama| mila au desturi za jamii fulani: Kila kabila lina ada zake za maziko.| kawaida katika kufanya jambo: Kunywa chai kila jioni ni ada",,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
85,adaa,religious duty,,"ulazima unaompasa mtu kuutenda kwa mujibu wa kanuni za dini kwa mfano kuswali, kufunga na kutoa zaka",,0,0,2023-02-19 13:59:38.901+00,2023-02-19 13:59:38.901+00
86,adabu,good manners,heshima,tabia nzuri: Yeye hana adabu.,,0,0,2023-02-19 13:59:38.901+00,2023-02-19 13:59:38.901+00
87,adade,physical weakness,,udhoofu wa mwili,,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
88,Adamu,Adam,,mtu wa kwanza kuumbwa na Mungu,,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
89,adana,musical instrument,,ala mojawapo inayotumiwa katika kupigia muziki,,0,0,2023-02-19 13:59:38.901+00,2023-02-19 13:59:38.901+00
90,adapta,adapter,kirekebu,kitu kinachodhibiti umeme unaoingia kwenye kitu kingine kinachotumia umeme,,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
91,adesi,pigeon peas,dengu,nafaka ya jamii ya kunde yenye rangi ya manjano,,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
92,adha,distress,"kero, taabu, udhia",jambo linaloleta usumbufu,,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
93,adhabu,punishment,,mateso anayopewa mtu kama njia ya kumrudi kwa kosa alilofanya,,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
94,adhama,great honor,"utukufu, hadhi",jambo la heshima kubwa : Ilikuwa ni adhama kutembelewa na Rais.,,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
95,adhana,call to prayer,,"mwito wa swala kwa Waislamu : Waislamu wote waliposikia adhana, walikwenda msikitini kuswali.",,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
96,adharusi,battle,vita,mapambano makubwa baina ya pande mbili zikitumia silaha,,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
97,adhibu,punish,,-pa mtu adhabu| tesa,"adhibia, adhibiana, adhibika, adhibisha, adhibiwa",0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
98,adhifari,body odor,"kikwapa, gugumo",harufu mbaya ya mwili,,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
99,adhimisha,celebrate,,sherehekea tukio muhimu lililopita kwa mfano maadhimisho ya nchi kupata uhuru,"adhimishia, adhimishika, adhimishwa",0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
100,adhimisho,commemoration,,kumbukumbu,,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
101,adhimu,honorable/abundant,tukufu,iliyo na sifa na heshima kubwa : Alipewa makaribisho adhimu alipofika kijijini kwetu.| iliyo kwa wingi : Mkwasi yule ana pesa adhimu.,,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
102,adhini,call to prayer,,ita waumini wa Kiislamu kwenye swala msikitini,"adhinia, adhinisha",0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
103,adhinia,give call to prayer,,toa adhana hata kama si wakati wa swala,"adhinika, adhinishwa, adhiniwa",0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
104,adhiri,humiliate,,"aibisha mtu aghalabu mbele ya watu, vunjia mtu heshima","adhiria, adhiriana, adhirika, adhirisha, adhiriwa",0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
105,adhirika,be disgraced,"fedheheka, aibika","fikwa na tukio la kuaibisha fedheheka, aibika",,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
106,adhuhuri,midday,,"muda kati ya saa sita mchana na saa tisa mchana: Katika nchi za joto, jua huwa kali sana wakati wa adhuhuri.| swala wanayosali Waislamu wakati wa mchana",,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
107,adi,accompany/bid farewell,aga,sindikiza mtu kwa lengo la kumuaga,"adia, adika, adisha, adiwa",0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
108,adia,reward/gift,"hidaya, zawadi",kitu au fedha anazopewa mtu kumpongeza kwa jambo alilofanya au kuonyesha upendo kwake,,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
109,adibu,discipline,,"elimisha mtu tabia njema, tia mtu adabu","adibia, adibika, adibisha, adibiwa",0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
110,adibu,well-mannered,,"-enye adabu, -enye tabia nzuri, -wa na adabu",,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
111,adidi,count/prepare,"hesabu, tayarisha","tafuta idadi ya vitu| fanya iwe tayari, fanya maandalizi","adideia, adideiana, adideika, adideisha, adideiwa",0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
112,adili,be just,,"tenda haki, kutopendelea pendelea","adilia, adilika, adilisha",0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
113,adili,just/fair,,"-enye kutenda haki, -siopendelea",,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
114,adilifu,just/fair,,mwenye mwenendo wa kutenda haki bila upendeleo,,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
115,adimika,be scarce,,kuwa haba : Sukumawiki imeadimika kwa sababu ya ukame.,,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
116,adimisha,make scarce,,"sababisha kupatikana kwa shida, fanya kuwa shida kupatikana : Ukame umeadimisha mahindi.",,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
117,adimu,rare,,-enye kupatikana kwa shida,,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
118,adinasi,well-behaved child,"mwanadamu, binadamu","mtoto wa mtu| mtoto anayetoka kwenye ukoo mwema, mtoto mwenye tabia njema",,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
119,admeri,admiral,,mkuu wa jeshi la wanamaji,,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
120,adrenali,adrenal gland,,moja kati ya jozi ya glandi mwilini iliyo juu ya figo inayotoa adrenalini,,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
121,adrenalini,adrenaline,,kemikali ya mwilini ambayo huufanya moyo kwenda kasi na kumpa mtu nguvu zaidi anaposhtuka,,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
122,adua,make sacrifice/bewitch,,"fanyia sadaka mizimu, tolea mizimu kafara| husudu| omba dua dhidi ya kijicho",,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
123,adui,enemy,hasimu,"mtu aliye dhidi yako, kitu kibaya unachopambana nacho kwa mfano magonjwa, njaa, chuki, wivu, ujinga na kadhalika| mshindani",,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
124,advansi,advance payment,"chambele, karadha, kishauzu, rubuni, arbuni",malipo ya awali,,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
125,afa,evil-doer,,mtu anayefanya matendo mabaya kwa wengine,,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
126,afadhali,better,bora,-zuri zaidi : Shati alilovaa leo ni afadhali kuliko alilovaa jana.,,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
127,afanalek!,expression of surprise,,neno la kuonyesha mshangao,,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
128,afande,effeminate man,"mfiraji, basha",mtu anayefira wanaume wenzake,,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
129,afande!,sir! (military),,jina la heshima analoitwa askari wa cheo cha juu na mdogo wake| namna ya kuitikia ambayo askari wa cheo cha chini huitikia anapoitwa na mkubwa wake,,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
130,afazia,aphasia,,maradhi yanayomfanya mtu kusahau baadhi ya maneno kwa sababu ya ubongo kuathirika,,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
131,afiki,agree/suit,,kubaliana na hoja zilizotolewa| kuwa katika hali ya kufaa au kupendeza,"afikia, afikiana, afikika, afikisha, afikiwa",0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
132,afikiana,reach agreement,,fikia mapatano na mtu kuhusu kitu au jambo,,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
133,afikisha,punctuate,,"tenga maneno kwa alama k.m kituo, kikomo na kadhalika","akifisha, akifishika, akifishwa",0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
134,afisa,officer,,"mtu mwenye madaraka katika ofisi| mtu mwenye cheo katika jeshi ; afisa kadeti, afisa wa polisi, afisa wa magereza",,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
135,afkani,heart disease,,ugonjwa wa moyo,,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
136,afkani,soul,"punguani, zuzu",mwehu,,0,0,2023-02-19 13:59:38.905+00,2023-02-19 13:59:38.905+00
137,Afrika,Africa,,"moja ya mabara saba ya dunia ambalo limezungukwa na Bahari ya Hindi, Bahari ya Atlantiki, Bahari ya Mediterani na Bahari ya Sham",,0,0,2023-02-19 13:59:38.904+00,2023-02-19 13:59:38.904+00
138,afrikanaizesheni,Africanization,,"utaratibu wa kukabidhi madaraka kwa Waafrika, Wazungu walipoondoka baada ya uhuru",,0,0,2023-02-19 13:59:39.573+00,2023-02-19 13:59:39.573+00
139,afriti,demon,,jini aletaye madhara kwa watu| mtu anayeshawishi wenzake wafanye uhalifu au mambo maovu| mtu mjanjamjanja asiyeaminika,,0,0,2023-02-19 13:59:39.573+00,2023-02-19 13:59:39.573+00
140,afu,tuberose,asumini mwitu,ua dogo jeupe linalonukia vizuri,,0,0,2023-02-19 13:59:39.573+00,2023-02-19 13:59:39.573+00
141,afu,forgiveness/healing,ghofira,msamaha wa dhambi anaopewa mtu na Mungu| uponaji| wokovu| ulinzi,,0,0,2023-02-19 13:59:39.573+00,2023-02-19 13:59:39.573+00
142,afu,seek forgiveness/protect,kinga,omba maghufira kutoka kwa Mungu| linda,"afia, afika, afisha",0,0,2023-02-19 13:59:39.573+00,2023-02-19 13:59:39.573+00
143,afua,good health,,"hali ya kupona au kuwa na afya nzuri, hali ya kuwa na uzima wa afya",,0,0,2023-02-19 13:59:39.573+00,2023-02-19 13:59:39.573+00
144,afueni,recovery,,"tendo la kupungua kwa maradhi, hali ya kupata hujambo : Baada ya kuugua kwa muda, Atiamuga alipata afueni.",,0,0,2023-02-19 13:59:39.573+00,2023-02-19 13:59:39.573+00
145,afwaji,crowd/armed group,kikundi,mkusanyiko wa watu kadhaa| kikundi cha askari wakiwa na silaha zao,,0,0,2023-02-19 13:59:39.573+00,2023-02-19 13:59:39.573+00
146,afya,health,,"hali ya uzima, hali ya kuwa na siha : Afya ya Mwende imeimarika kwa sababu ya mazoezi.",,0,0,2023-02-19 13:59:39.573+00,2023-02-19 13:59:39.573+00
147,afya,okay! (children's agreement),,hutumiwa na watoto wanaposhauriana kufanya jambo : Afya! Tucheze mpira.,,0,0,2023-02-19 13:59:39.573+00,2023-02-19 13:59:39.573+00
